,Unnamed: 0.1,Unnamed: 0,Date,WBD,WBD_6m,WBD_12m
0,0,0,2019-02-05,29.040000915527344,,
1,1,1,2019-02-06,29.1200008392334,,
2,2,2,2019-02-07,28.63999938964844,,
3,3,3,2019-02-08,29.190000534057617,,
4,4,4,2019-02-11,28.63999938964844,,
5,5,5,2019-02-12,28.1299991607666,,
6,6,6,2019-02-13,28.31999969482422,29.040000915527344,
7,7,7,2019-02-14,28.770000457763672,29.1200008392334,
8,8,8,2019-02-15,29.299999237060547,28.63999938964844,
9,9,9,2019-02-19,29.059999465942383,29.190000534057617,
10,10,10,2019-02-20,29.09000015258789,28.63999938964844,
11,11,11,2019-02-21,29.0,28.1299991607666,
12,12,12,2019-02-22,29.209999084472656,28.31999969482422,29.040000915527344
13,13,13,2019-02-25,29.209999084472656,28.770000457763672,29.1200008392334
14,14,14,2019-02-26,28.38999938964844,29.299999237060547,28.63999938964844
15,15,15,2019-02-27,28.63999938964844,29.059999465942383,29.190000534057617
16,16,16,2019-02-28,28.89999961853028,29.09000015258789,28.63999938964844
17,17,17,2019-03-01,29.07999992370605,29.0,28.1299991607666
18,18,18,2019-03-04,28.780000686645508,29.209999084472656,28.31999969482422
19,19,19,2019-03-05,28.989999771118164,29.209999084472656,28.770000457763672
20,20,20,2019-03-06,28.809999465942383,28.38999938964844,29.299999237060547
21,21,21,2019-03-07,28.420000076293945,28.63999938964844,29.059999465942383
22,22,22,2019-03-08,28.920000076293945,28.89999961853028,29.09000015258789
23,23,23,2019-03-11,28.420000076293945,29.07999992370605,29.0
24,24,24,2019-03-12,28.3700008392334,28.780000686645508,29.209999084472656
25,25,25,2019-03-13,26.93000030517578,28.989999771118164,29.209999084472656
26,26,26,2019-03-14,27.43000030517578,28.809999465942383,28.38999938964844
27,27,27,2019-03-15,27.43000030517578,28.420000076293945,28.63999938964844
28,28,28,2019-03-18,27.229999542236328,28.920000076293945,28.89999961853028
29,29,29,2019-03-19,27.26000022888184,28.420000076293945,29.07999992370605
30,30,30,2019-03-20,26.690000534057617,28.3700008392334,28.780000686645508
31,31,31,2019-03-21,26.68000030517578,26.93000030517578,28.989999771118164
32,32,32,2019-03-22,26.670000076293945,27.43000030517578,28.809999465942383
33,33,33,2019-03-25,27.11000061035156,27.43000030517578,28.420000076293945
34,34,34,2019-03-26,27.63999938964844,27.229999542236328,28.920000076293945
35,35,35,2019-03-27,27.57999992370605,27.26000022888184,28.420000076293945
36,36,36,2019-03-28,26.90999984741211,26.690000534057617,28.3700008392334
37,37,37,2019-03-29,27.020000457763672,26.68000030517578,26.93000030517578
38,38,38,2019-04-01,27.75,26.670000076293945,27.43000030517578
39,39,39,2019-04-02,27.38999938964844,27.11000061035156,27.43000030517578
40,40,40,2019-04-03,27.8700008392334,27.63999938964844,27.229999542236328
41,41,41,2019-04-04,28.8799991607666,27.57999992370605,27.26000022888184
42,42,42,2019-04-05,29.479999542236328,26.90999984741211,26.690000534057617
43,43,43,2019-04-08,28.8700008392334,27.020000457763672,26.68000030517578
44,44,44,2019-04-09,28.84000015258789,27.75,26.670000076293945
45,45,45,2019-04-10,30.59000015258789,27.38999938964844,27.11000061035156
46,46,46,2019-04-11,30.190000534057617,27.8700008392334,27.63999938964844
47,47,47,2019-04-12,30.020000457763672,28.8799991607666,27.57999992370605
48,48,48,2019-04-15,30.049999237060547,29.479999542236328,26.90999984741211
49,49,49,2019-04-16,29.979999542236328,28.8700008392334,27.020000457763672
50,50,50,2019-04-17,30.40999984741211,28.84000015258789,27.75
51,51,51,2019-04-18,30.1299991607666,30.59000015258789,27.38999938964844
52,52,52,2019-04-22,29.1200008392334,30.190000534057617,27.8700008392334
53,53,53,2019-04-23,29.46999931335449,30.020000457763672,28.8799991607666
54,54,54,2019-04-24,30.3799991607666,30.049999237060547,29.479999542236328
55,55,55,2019-04-25,30.3700008392334,29.979999542236328,28.8700008392334
56,56,56,2019-04-26,31.51000022888184,30.40999984741211,28.84000015258789
57,57,57,2019-04-29,31.6299991607666,30.1299991607666,30.59000015258789
58,58,58,2019-04-30,30.89999961853028,29.1200008392334,30.190000534057617
59,59,59,2019-05-01,30.88999938964844,29.46999931335449,30.020000457763672
60,60,60,2019-05-02,29.26000022888184,30.3799991607666,30.049999237060547
61,61,61,2019-05-03,29.34000015258789,30.3700008392334,29.979999542236328
62,62,62,2019-05-06,29.13999938964844,31.51000022888184,30.40999984741211
63,63,63,2019-05-07,28.690000534057617,31.6299991607666,30.1299991607666
64,64,64,2019-05-08,28.920000076293945,30.89999961853028,29.1200008392334
65,65,65,2019-05-09,28.450000762939453,30.88999938964844,29.46999931335449
66,66,66,2019-05-10,28.459999084472656,29.26000022888184,30.3799991607666
67,67,67,2019-05-13,27.34000015258789,29.34000015258789,30.3700008392334
68,68,68,2019-05-14,27.739999771118164,29.13999938964844,31.51000022888184
69,69,69,2019-05-15,27.75,28.690000534057617,31.6299991607666
70,70,70,2019-05-16,27.8799991607666,28.920000076293945,30.89999961853028
71,71,71,2019-05-17,27.8700008392334,28.450000762939453,30.88999938964844
72,72,72,2019-05-20,27.309999465942383,28.459999084472656,29.26000022888184
73,73,73,2019-05-21,28.01000022888184,27.34000015258789,29.34000015258789
