,Unnamed: 0.1,Unnamed: 0,Date,MU,MU_6m,MU_12m
0,0,0,2019-02-05,38.703712463378906,,
1,1,1,2019-02-06,40.81732177734375,,
2,2,2,2019-02-07,38.71354675292969,,
3,3,3,2019-02-08,37.92708206176758,,
4,4,4,2019-02-11,37.92708206176758,,
5,5,5,2019-02-12,39.71627807617188,,
6,6,6,2019-02-13,40.97461700439453,38.703712463378906,
7,7,7,2019-02-14,41.51530838012695,40.81732177734375,
8,8,8,2019-02-15,41.27937316894531,38.71354675292969,
9,9,9,2019-02-19,41.2498779296875,37.92708206176758,
10,10,10,2019-02-20,41.49564743041992,37.92708206176758,
11,11,11,2019-02-21,40.82715225219727,39.71627807617188,
12,12,12,2019-02-22,41.84954833984375,40.97461700439453,38.703712463378906
13,13,13,2019-02-25,42.02650833129883,41.51530838012695,40.81732177734375
14,14,14,2019-02-26,42.23295593261719,41.27937316894531,38.71354675292969
15,15,15,2019-02-27,40.620704650878906,41.2498779296875,37.92708206176758
16,16,16,2019-02-28,40.18815612792969,41.49564743041992,37.92708206176758
17,17,17,2019-03-01,40.87630844116211,40.82715225219727,39.71627807617188
18,18,18,2019-03-04,40.3651123046875,41.84954833984375,40.97461700439453
19,19,19,2019-03-05,39.3132209777832,42.02650833129883,41.51530838012695
20,20,20,2019-03-06,37.288082122802734,42.23295593261719,41.27937316894531
21,21,21,2019-03-07,37.18977355957031,40.620704650878906,41.2498779296875
22,22,22,2019-03-08,37.99589920043945,40.18815612792969,41.49564743041992
23,23,23,2019-03-11,38.36946487426758,40.87630844116211,40.82715225219727
24,24,24,2019-03-12,38.58573532104492,40.3651123046875,41.84954833984375
25,25,25,2019-03-13,38.172847747802734,39.3132209777832,42.02650833129883
26,26,26,2019-03-14,37.75995635986328,37.288082122802734,42.23295593261719
27,27,27,2019-03-15,38.87083053588867,37.18977355957031,40.620704650878906
28,28,28,2019-03-18,38.93965148925781,37.99589920043945,40.18815612792969
29,29,29,2019-03-19,39.68678665161133,38.36946487426758,40.87630844116211
30,30,30,2019-03-20,39.45085144042969,38.58573532104492,40.3651123046875
31,31,31,2019-03-21,43.24552154541016,38.172847747802734,39.3132209777832
32,32,32,2019-03-22,40.91563415527344,37.75995635986328,37.288082122802734
33,33,33,2019-03-25,39.86373901367188,38.87083053588867,37.18977355957031
34,34,34,2019-03-26,39.63763427734375,38.93965148925781,37.99589920043945
35,35,35,2019-03-27,38.56607818603516,39.68678665161133,38.36946487426758
36,36,36,2019-03-28,38.674224853515625,39.45085144042969,38.58573532104492
37,37,37,2019-03-29,40.63053894042969,43.24552154541016,38.172847747802734
38,38,38,2019-04-01,41.534969329833984,40.91563415527344,37.75995635986328
39,39,39,2019-04-02,41.72174835205078,39.86373901367188,38.87083053588867
40,40,40,2019-04-03,43.15704727172852,39.63763427734375,38.93965148925781
41,41,41,2019-04-04,42.16413497924805,38.56607818603516,39.68678665161133
42,42,42,2019-04-05,42.58686447143555,38.674224853515625,39.45085144042969
43,43,43,2019-04-08,42.17396926879883,40.63053894042969,43.24552154541016
44,44,44,2019-04-09,41.013946533203125,41.534969329833984,40.91563415527344
45,45,45,2019-04-10,41.456329345703125,41.72174835205078,39.86373901367188
46,46,46,2019-04-11,41.56445693969727,43.15704727172852,39.63763427734375
47,47,47,2019-04-12,41.29903030395508,42.16413497924805,38.56607818603516
48,48,48,2019-04-15,41.112247467041016,42.58686447143555,38.674224853515625
49,49,49,2019-04-16,42.03633499145508,42.17396926879883,40.63053894042969
50,50,50,2019-04-17,42.41973876953125,41.013946533203125,41.534969329833984
51,51,51,2019-04-18,42.66551208496094,41.456329345703125,41.72174835205078
52,52,52,2019-04-22,42.66551208496094,41.56445693969727,43.15704727172852
53,53,53,2019-04-23,42.04616928100586,41.29903030395508,42.16413497924805
54,54,54,2019-04-24,42.3017692565918,41.112247467041016,42.58686447143555
55,55,55,2019-04-25,42.02650833129883,42.03633499145508,42.17396926879883
56,56,56,2019-04-26,41.38750457763672,42.41973876953125,41.013946533203125
57,57,57,2019-04-29,41.397342681884766,42.66551208496094,41.456329345703125
58,58,58,2019-04-30,41.34819412231445,42.66551208496094,41.56445693969727
59,59,59,2019-05-01,41.190895080566406,42.04616928100586,41.29903030395508
60,60,60,2019-05-02,41.83972930908203,42.3017692565918,41.112247467041016
61,61,61,2019-05-03,42.5966911315918,42.02650833129883,42.03633499145508
62,62,62,2019-05-06,41.4170036315918,41.38750457763672,42.41973876953125
63,63,63,2019-05-07,39.578643798828125,41.397342681884766,42.66551208496094
64,64,64,2019-05-08,39.0772705078125,41.34819412231445,42.66551208496094
65,65,65,2019-05-09,38.60540390014648,41.190895080566406,42.04616928100586
66,66,66,2019-05-10,38.28098678588867,41.83972930908203,42.3017692565918
67,67,67,2019-05-13,36.74739456176758,42.5966911315918,42.02650833129883
68,68,68,2019-05-14,37.85826110839844,41.4170036315918,41.38750457763672
69,69,69,2019-05-15,37.75995635986328,39.578643798828125,41.397342681884766
70,70,70,2019-05-16,36.67856979370117,39.0772705078125,41.34819412231445
71,71,71,2019-05-17,35.449729919433594,38.60540390014648,41.190895080566406
72,72,72,2019-05-20,34.03409194946289,38.28098678588867,41.83972930908203
73,73,73,2019-05-21,35.036827087402344,36.74739456176758,42.5966911315918
74,74,74,2019-05-22,34.142234802246094,37.85826110839844,41.4170036315918
75,75,75,2019-05-23,33.24763488769531,37.75995635986328,39.578643798828125
76,76,76,2019-05-24,33.424591064453125,36.67856979370117,39.0772705078125
77,77,77,2019-05-28,32.38253402709961,35.449729919433594,38.60540390014648
78,78,78,2019-05-29,32.726600646972656,34.03409194946289,38.28098678588867
79,79,79,2019-05-30,32.7560920715332,35.036827087402344,36.74739456176758
80,80,80,2019-05-31,32.05811309814453,34.142234802246094,37.85826110839844
81,81,81,2019-06-03,32.136756896972656,33.24763488769531,37.75995635986328
82,82,82,2019-06-04,33.90630340576172,33.424591064453125,36.67856979370117
83,83,83,2019-06-05,32.775760650634766,32.38253402709961,35.449729919433594
84,84,84,2019-06-06,32.903568267822266,32.726600646972656,34.03409194946289
85,85,85,2019-06-07,33.41476058959961,32.7560920715332,35.036827087402344
86,86,86,2019-06-10,34.34868240356445,32.05811309814453,34.142234802246094
87,87,87,2019-06-11,34.25037384033203,32.136756896972656,33.24763488769531
88,88,88,2019-06-12,32.40218734741211,33.90630340576172,33.424591064453125
89,89,89,2019-06-13,32.81508255004883,32.775760650634766,32.38253402709961
90,90,90,2019-06-14,32.107269287109375,32.903568267822266,32.726600646972656
91,91,91,2019-06-17,31.881162643432617,33.41476058959961,32.7560920715332
92,92,92,2019-06-18,33.70968246459961,34.34868240356445,32.05811309814453
93,93,93,2019-06-19,33.365604400634766,34.25037384033203,32.136756896972656
94,94,94,2019-06-20,33.572052001953125,32.40218734741211,33.90630340576172
95,95,95,2019-06-21,32.68728256225586,32.81508255004883,32.775760650634766
96,96,96,2019-06-24,32.6282958984375,32.107269287109375,32.903568267822266
97,97,97,2019-06-25,32.12693786621094,31.881162643432617,33.41476058959961
98,98,98,2019-06-26,36.41314315795898,33.70968246459961,34.34868240356445
99,99,99,2019-06-27,37.42570877075195,33.365604400634766,34.25037384033203
100,100,100,2019-06-28,37.93691253662109,33.572052001953125,32.40218734741211
101,101,101,2019-07-01,39.43118667602539,32.68728256225586,32.81508255004883
102,102,102,2019-07-02,38.92981719970703,32.6282958984375,32.107269287109375
103,103,103,2019-07-03,38.91998672485352,32.12693786621094,31.881162643432617
104,104,104,2019-07-05,38.75286483764648,36.41314315795898,33.70968246459961
105,105,105,2019-07-08,39.726104736328125,37.42570877075195,33.365604400634766
106,106,106,2019-07-09,40.65019607543945,37.93691253662109,33.572052001953125
107,107,107,2019-07-10,42.17396926879883,39.43118667602539,32.68728256225586
108,108,108,2019-07-11,42.74415588378906,38.92981719970703,32.6282958984375
109,109,109,2019-07-12,43.75672149658203,38.91998672485352,32.12693786621094
110,110,110,2019-07-15,43.648582458496094,38.75286483764648,36.41314315795898
111,111,111,2019-07-16,42.33126449584961,39.726104736328125,37.42570877075195
112,112,112,2019-07-17,42.63601303100586,40.65019607543945,37.93691253662109
113,113,113,2019-07-18,43.91400909423828,42.17396926879883,39.43118667602539
114,114,114,2019-07-19,44.749629974365234,42.74415588378906,38.92981719970703
115,115,115,2019-07-22,46.39136505126953,43.75672149658203,38.91998672485352
116,116,116,2019-07-23,46.15543365478516,43.648582458496094,38.75286483764648
117,117,117,2019-07-24,47.17782974243164,42.33126449584961,39.726104736328125
118,118,118,2019-07-25,46.961551666259766,42.63601303100586,40.65019607543945
119,119,119,2019-07-26,46.68629455566406,43.91400909423828,42.17396926879883
120,120,120,2019-07-29,46.027626037597656,44.749629974365234,42.74415588378906
121,121,121,2019-07-30,46.65679550170898,46.39136505126953,43.75672149658203
122,122,122,2019-07-31,44.13029098510742,46.15543365478516,43.648582458496094
123,123,123,2019-08-01,42.862117767333984,47.17782974243164,42.33126449584961
124,124,124,2019-08-02,43.33399963378906,46.961551666259766,42.63601303100586
125,125,125,2019-08-05,41.23020935058594,46.68629455566406,43.91400909423828
126,126,126,2019-08-06,41.89870834350586,46.027626037597656,44.749629974365234
