,Unnamed: 0.1,Unnamed: 0,Date,LUV,LUV_6m,LUV_12m
0,0,0,2019-02-05,55.33181381225586,,
1,1,1,2019-02-06,55.07369995117188,,
2,2,2,2019-02-07,54.94942092895508,,
3,3,3,2019-02-08,55.1119384765625,,
4,4,4,2019-02-11,55.71419906616211,,
5,5,5,2019-02-12,55.15974044799805,,
6,6,6,2019-02-13,55.44652557373047,55.33181381225586,
7,7,7,2019-02-14,55.44652557373047,55.07369995117188,
8,8,8,2019-02-15,55.15974044799805,54.94942092895508,
9,9,9,2019-02-19,55.13105010986328,55.1119384765625,
10,10,10,2019-02-20,52.01457977294922,55.71419906616211,
11,11,11,2019-02-21,51.91897964477539,55.15974044799805,
12,12,12,2019-02-22,51.25935363769531,55.44652557373047,55.33181381225586
13,13,13,2019-02-25,51.58439254760742,55.44652557373047,55.07369995117188
14,14,14,2019-02-26,51.32627868652344,55.15974044799805,54.94942092895508
15,15,15,2019-02-27,51.47923278808594,55.13105010986328,55.1119384765625
16,16,16,2019-02-28,53.57281875610352,52.01457977294922,55.71419906616211
17,17,17,2019-03-01,51.947662353515625,51.91897964477539,55.15974044799805
18,18,18,2019-03-04,51.46011352539063,51.25935363769531,55.44652557373047
19,19,19,2019-03-05,51.19164276123047,51.58439254760742,55.44652557373047
20,20,20,2019-03-06,50.87522888183594,51.32627868652344,55.15974044799805
21,21,21,2019-03-07,50.27117156982422,51.47923278808594,55.13105010986328
22,22,22,2019-03-08,49.63835144042969,53.57281875610352,52.01457977294922
23,23,23,2019-03-11,49.48493194580078,51.947662353515625,51.91897964477539
24,24,24,2019-03-12,48.32475662231445,51.46011352539063,51.25935363769531
25,25,25,2019-03-13,48.52610397338867,51.19164276123047,51.58439254760742
26,26,26,2019-03-14,49.05345916748047,50.87522888183594,51.32627868652344
27,27,27,2019-03-15,49.25481796264648,50.27117156982422,51.47923278808594
28,28,28,2019-03-18,48.97676849365234,49.63835144042969,53.57281875610352
29,29,29,2019-03-19,48.65076446533203,49.48493194580078,51.947662353515625
30,30,30,2019-03-20,47.65357971191406,48.32475662231445,51.46011352539063
31,31,31,2019-03-21,48.65076446533203,48.52610397338867,51.19164276123047
32,32,32,2019-03-22,47.28923034667969,49.05345916748047,50.87522888183594
33,33,33,2019-03-25,46.6851692199707,49.25481796264648,50.27117156982422
34,34,34,2019-03-26,46.74269485473633,48.97676849365234,49.63835144042969
35,35,35,2019-03-27,47.77822494506836,48.65076446533203,49.48493194580078
36,36,36,2019-03-28,48.37269592285156,47.65357971191406,48.32475662231445
37,37,37,2019-03-29,49.7725830078125,48.65076446533203,48.52610397338867
38,38,38,2019-04-01,50.25199508666992,47.28923034667969,49.05345916748047
39,39,39,2019-04-02,50.53964614868164,46.6851692199707,49.25481796264648
40,40,40,2019-04-03,50.71223068237305,46.74269485473633,48.97676849365234
41,41,41,2019-04-04,50.99028778076172,47.77822494506836,48.65076446533203
42,42,42,2019-04-05,51.05740737915039,48.37269592285156,47.65357971191406
43,43,43,2019-04-08,49.80134582519531,49.7725830078125,48.65076446533203
44,44,44,2019-04-09,49.75341033935547,50.25199508666992,47.28923034667969
45,45,45,2019-04-10,50.453346252441406,50.53964614868164,46.6851692199707
46,46,46,2019-04-11,50.81770324707031,50.71223068237305,46.74269485473633
47,47,47,2019-04-12,50.942344665527344,50.99028778076172,47.77822494506836
48,48,48,2019-04-15,50.13693618774414,51.05740737915039,48.37269592285156
49,49,49,2019-04-16,50.60675430297852,49.80134582519531,49.7725830078125
50,50,50,2019-04-17,50.58758163452149,49.75341033935547,50.25199508666992
51,51,51,2019-04-18,50.03146362304688,50.453346252441406,50.53964614868164
52,52,52,2019-04-22,49.58081817626953,50.81770324707031,50.71223068237305
53,53,53,2019-04-23,50.6163444519043,50.942344665527344,50.99028778076172
54,54,54,2019-04-24,50.75058364868164,50.13693618774414,51.05740737915039
55,55,55,2019-04-25,51.15328979492188,50.60675430297852,49.80134582519531
56,56,56,2019-04-26,50.79852294921875,50.58758163452149,49.75341033935547
57,57,57,2019-04-29,51.61352157592773,50.03146362304688,50.453346252441406
58,58,58,2019-04-30,51.997047424316406,49.58081817626953,50.81770324707031
59,59,59,2019-05-01,51.68064880371094,50.6163444519043,50.942344665527344
60,60,60,2019-05-02,51.17245864868164,50.75058364868164,50.13693618774414
61,61,61,2019-05-03,51.41217422485352,51.15328979492188,50.60675430297852
62,62,62,2019-05-06,51.27793884277344,50.79852294921875,50.58758163452149
63,63,63,2019-05-07,50.06023025512695,51.61352157592773,50.03146362304688
64,64,64,2019-05-08,50.25199508666992,51.997047424316406,49.58081817626953
65,65,65,2019-05-09,50.2999382019043,51.68064880371094,50.6163444519043
66,66,66,2019-05-10,50.56840515136719,51.17245864868164,50.75058364868164
67,67,67,2019-05-13,48.93840408325195,51.41217422485352,51.15328979492188
68,68,68,2019-05-14,49.52328872680664,51.27793884277344,50.79852294921875
69,69,69,2019-05-15,49.86846160888672,50.06023025512695,51.61352157592773
70,70,70,2019-05-16,50.424583435058594,50.25199508666992,51.997047424316406
71,71,71,2019-05-17,50.08899688720703,50.2999382019043,51.68064880371094
72,72,72,2019-05-20,49.86846160888672,50.56840515136719,51.17245864868164
73,73,73,2019-05-21,51.17245864868164,48.93840408325195,51.41217422485352
74,74,74,2019-05-22,50.40541076660156,49.52328872680664,51.27793884277344
75,75,75,2019-05-23,48.86170196533203,49.86846160888672,50.06023025512695
76,76,76,2019-05-24,49.04387283325195,50.424583435058594,50.25199508666992
77,77,77,2019-05-28,47.96998596191406,50.08899688720703,50.2999382019043
78,78,78,2019-05-29,47.51935195922852,49.86846160888672,50.56840515136719
79,79,79,2019-05-30,47.35634613037109,51.17245864868164,48.93840408325195
80,80,80,2019-05-31,45.64004898071289,50.40541076660156,49.52328872680664
81,81,81,2019-06-03,45.822227478027344,48.86170196533203,49.86846160888672
82,82,82,2019-06-04,47.111915588378906,49.04387283325195,50.424583435058594
83,83,83,2019-06-05,48.33422088623047,47.96998596191406,50.08899688720703
84,84,84,2019-06-06,48.10322952270508,47.51935195922852,49.86846160888672
85,85,85,2019-06-07,48.47858047485352,47.35634613037109,51.17245864868164
86,86,86,2019-06-10,48.41120910644531,45.64004898071289,50.40541076660156
87,87,87,2019-06-11,48.680702209472656,45.822227478027344,48.86170196533203
88,88,88,2019-06-12,48.90206909179688,47.111915588378906,49.04387283325195
89,89,89,2019-06-13,50.41310501098633,48.33422088623047,47.96998596191406
90,90,90,2019-06-14,49.8741340637207,48.10322952270508,47.51935195922852
91,91,91,2019-06-17,49.25817108154297,48.47858047485352,47.35634613037109
92,92,92,2019-06-18,49.75864791870117,48.41120910644531,45.64004898071289
93,93,93,2019-06-19,49.57577896118164,48.680702209472656,45.822227478027344
94,94,94,2019-06-20,49.58540344238281,48.90206909179688,47.111915588378906
95,95,95,2019-06-21,49.32553863525391,50.41310501098633,48.33422088623047
96,96,96,2019-06-24,49.296669006347656,49.8741340637207,48.10322952270508
97,97,97,2019-06-25,49.084922790527344,49.25817108154297,48.47858047485352
98,98,98,2019-06-26,48.79619598388672,49.75864791870117,48.41120910644531
99,99,99,2019-06-27,48.83469772338867,49.57577896118164,48.680702209472656
100,100,100,2019-06-28,48.87318801879883,49.58540344238281,48.90206909179688
101,101,101,2019-07-01,49.60465240478516,49.32553863525391,50.41310501098633
102,102,102,2019-07-02,49.498779296875,49.296669006347656,49.8741340637207
103,103,103,2019-07-03,49.94151306152344,49.084922790527344,49.25817108154297
104,104,104,2019-07-05,49.931884765625,48.79619598388672,49.75864791870117
105,105,105,2019-07-08,50.1243782043457,48.83469772338867,49.57577896118164
106,106,106,2019-07-09,49.74901580810547,48.87318801879883,49.58540344238281
107,107,107,2019-07-10,49.912635803222656,49.60465240478516,49.32553863525391
108,108,108,2019-07-11,49.89338302612305,49.498779296875,49.296669006347656
109,109,109,2019-07-12,50.53822326660156,49.94151306152344,49.084922790527344
110,110,110,2019-07-15,50.29761505126953,49.931884765625,48.79619598388672
111,111,111,2019-07-16,51.2793083190918,50.1243782043457,48.83469772338867
112,112,112,2019-07-17,50.33611297607422,49.74901580810547,48.87318801879883
113,113,113,2019-07-18,50.47085571289063,49.912635803222656,49.60465240478516
114,114,114,2019-07-19,50.06662368774414,49.89338302612305,49.498779296875
115,115,115,2019-07-22,50.70184326171875,50.53822326660156,49.94151306152344
116,116,116,2019-07-23,52.087772369384766,50.29761505126953,49.931884765625
117,117,117,2019-07-24,52.66524505615234,51.2793083190918,50.1243782043457
118,118,118,2019-07-25,52.84810256958008,50.33611297607422,49.74901580810547
119,119,119,2019-07-26,51.25044250488281,50.47085571289063,49.912635803222656
120,120,120,2019-07-29,50.89432907104492,50.06662368774414,49.89338302612305
